2026-06-09 13:39:12 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=32.68 humidity=60.83 status=Warning reason=温度过高
2026-06-09 13:39:12 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=31.95 humidity=63.13 status=Normal reason=无异常
2026-06-09 13:39:17 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=28.66 humidity=57.58 status=Normal reason=无异常
2026-06-09 13:39:17 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=28.92 humidity=73.62 status=Normal reason=无异常
2026-06-09 13:39:22 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=32.64 humidity=55.24 status=Warning reason=温度过高
2026-06-09 13:39:22 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=35.39 humidity=67.82 status=Warning reason=温度过高
2026-06-09 13:39:27 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=31.54 humidity=60.34 status=Warning reason=温度过高
2026-06-09 13:39:27 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=31.76 humidity=63.85 status=Normal reason=无异常
2026-06-09 13:39:32 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=28.96 humidity=59.40 status=Normal reason=无异常
2026-06-09 13:39:32 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=37.54 humidity=64.11 status=Warning reason=温度过高
2026-06-09 13:39:37 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=29.60 humidity=61.95 status=Normal reason=无异常
2026-06-09 13:39:37 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=36.07 humidity=68.57 status=Warning reason=温度过高
2026-06-09 13:45:00 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=28.83 humidity=62.60 status=Normal reason=无异常
2026-06-09 13:45:00 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=34.27 humidity=75.81 status=Warning reason=湿度过高
2026-06-09 13:45:05 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=26.72 humidity=73.20 status=Warning reason=湿度过高
2026-06-09 13:45:05 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=35.27 humidity=75.82 status=Warning reason=温度过高、湿度过高
2026-06-09 13:45:10 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=29.99 humidity=62.44 status=Normal reason=无异常
2026-06-09 13:45:10 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=32.36 humidity=62.87 status=Normal reason=无异常
2026-06-09 13:45:15 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=28.18 humidity=59.50 status=Normal reason=无异常
2026-06-09 13:45:15 device=ESP32-ROOM-002 location=信工学院楼B205 temperature=29.74 humidity=63.53 status=Normal reason=无异常
2026-06-09 13:45:20 device=ESP32-ROOM-001 location=信工学院楼B024 temperature=29.97 humidity=57.57 status=Normal reason=无异常
